45.000000	45.000000	
45.000000	45.000000	
32.870000		
452.570000		331.510000
45.000000	33.530000	
45.000000	45.000000	
376.430000		151.350000
69.380000		24.130000
64.170000		23.180000
5.030000		16.010000
45.000000	45.000000	
45.000000	45.000000	
30.090000		
442.810000		275.160000
45.000000	38.030000	
45.000000	45.000000	
169.250000		133.580000
53.900000		21.190000
125.340000		23.120000
4.450000		4.227500
45.000000	45.000000	
45.000000	45.000000	
45.000000		
533.100000		343.960000
45.000000	38.710000	
45.000000	45.000000	
226.490000		193.800000
66.620000		33.040000
68.170000		21.190000
3.940000		3.743000
45.000000	45.000000	
45.000000	45.000000	
45.000000		
466.810000		318.010000
45.000000	44.360000	
45.000000	45.000000	
252.830000		200.500000
61.470000		22.400000
76.890000		23.110000
4.560000		8.800000
45.000000	45.000000	
45.000000	45.000000	
41.690000		
347.500000		258.720000
45.000000	45.000000	
45.000000	45.000000	
182.590000		163.750000
70.360000		29.230000
53.610000		15.740000
4.870000		4.626500
45.000000	45.000000	
45.000000	45.000000	
40.670000		
311.820000		226.740000
45.000000	31.540000	
45.000000	45.000000	
203.990000		166.840000
76.430000		25.710000
51.860000		23.390000
2.800000		2.660000
45.000000	45.000000	
45.000000	45.000000	
45.000000		
417.580000		287.010000
45.000000	40.330000	
45.000000	45.000000	
183.610000		182.690000
77.080000		30.720000
69.280000		18.160000
3.570000		6.650000
45.000000	45.000000	
45.000000	45.000000	
29.520000		
384.640000		259.550000
45.000000	34.850000	
45.000000	45.000000	
183.890000		166.750000
56.830000		24.210000
70.890000		27.540000
3.080000		2.926000
45.000000	45.000000	
45.000000	45.000000	
28.040000		
502.140000		362.430000
45.000000	38.190000	
45.000000	45.000000	
432.050000		176.060000
49.940000		23.300000
46.670000		16.180000
3.240000		3.078000
45.000000	45.000000	
45.000000	45.000000	
30.380000		
694.230000		429.420000
45.000000	45.000000	
45.000000	45.000000	
147.460000		138.980000
66.420000		25.560000
71.080000		38.720000
4.210000		7.080000
45.000000	45.000000	
45.000000	45.000000	
30.440000		
518.890000		300.530000
45.000000	36.490000	
45.000000	45.000000	
300.280000		248.430000
98.350000		37.690000
41.900000		15.300000
4.800000		4.560000
45.000000	45.000000	
45.000000	45.000000	
40.850000		
549.890000		393.880000
45.000000	45.000000	
45.000000	45.000000	
234.990000		184.410000
73.110000		30.270000
80.350000		22.630000
4.780000		4.541000
45.000000	45.000000	
45.000000	45.000000	
30.790000		
678.470000		398.450000
45.000000	35.360000	
45.000000	45.000000	
222.000000		171.010000
55.830000		18.850000
74.190000		24.980000
3.750000		7.260000
45.000000	45.000000	
45.000000	45.000000	
45.000000		
506.510000		388.570000
45.000000	43.760000	
45.000000	45.000000	
243.910000		162.240000
57.960000		21.810000
47.380000		20.490000
4.090000		3.885500
45.000000	45.000000	
45.000000	45.000000	
45.000000		
445.870000		274.290000
45.000000	32.530000	
45.000000	45.000000	
188.670000		149.270000
48.920000		19.000000
72.920000		23.110000
3.530000		3.353500
45.000000	45.000000	
45.000000	45.000000	
31.950000		
485.460000		300.920000
45.000000	32.180000	
45.000000	45.000000	
220.550000		172.660000
65.850000		21.770000
61.710000		18.740000
5.990000		9.730000
45.000000	45.000000	
45.000000	45.000000	
30.800000		
440.410000		281.090000
45.000000	44.600000	
45.000000	45.000000	
178.950000		137.700000
61.500000		25.490000
71.310000		28.250000
2.930000		2.783500
45.000000	45.000000	
45.000000	45.000000	
26.150000		
322.920000		221.220000
45.000000	45.000000	
45.000000	45.000000	
232.450000		161.590000
78.050000		32.920000
69.240000		21.430000
3.940000		3.743000
45.000000	45.000000	
45.000000	45.000000	
27.810000		
420.060000		295.210000
45.000000	39.590000	
45.000000	45.000000	
231.380000		170.450000
184.760000		32.590000
86.540000		24.940000
3.690000		5.910000
45.000000	45.000000	
45.000000	45.000000	
31.390000		
641.010000		456.680000
45.000000	26.740000	
45.000000	45.000000	
293.570000		138.930000
101.190000		38.020000
71.140000		25.820000
3.390000		3.220500
45.000000	45.000000	
45.000000	45.000000	
27.680000		
